honorific_title,name,gender,username,profile_URL,account_status,political_affiliation,constituency,province_territory
NA,Don Stewart,Man,donstewart.bsky.social,https://bsky.app/profile/donstewart.bsky.social,Inactive,Conservative,Toronto—St. Paul's,Ontario
Hon.,Filomena Tassi,Woman,filomenatassi.bsky.social,https://bsky.app/profile/filomenatassi.bsky.social,Inactive,Liberal,Hamilton West—Ancaster—Dundas,Ontario
Hon.,Joanne Thompson,Woman,joannethompsonnl.bsky.social,https://bsky.app/profile/joannethompsonnl.bsky.social,Inactive,Liberal,St. John's East,Newfoundland and Labrador
NA,Ryan Turnbull,Man,turnbullwhitby.bsky.social,https://bsky.app/profile/turnbullwhitby.bsky.social,Active,Liberal,Whitby,Ontario
Hon.,Rechie Valdez,Woman,rechievaldez.bsky.social,https://bsky.app/profile/rechievaldez.bsky.social,Active,Liberal,Mississauga—Streetsville,Ontario
NA,Adam van Koeverden,Man,avankoeverden.bsky.social,https://bsky.app/profile/avankoeverden.bsky.social,Active,Liberal,Milton,Ontario
NA,Anita Vandenbeld,Woman,anitavandenbeld.bsky.social,https://bsky.app/profile/anitavandenbeld.bsky.social,Active,Liberal,Ottawa West—Nepean,Ontario
NA,René Villemure,Man,renevillemure.bsky.social,https://bsky.app/profile/renevillemure.bsky.social,Active,Bloc Québécois,Trois-Rivières,Quebec
Hon.,Arif Virani,Man,viraniarif.bsky.social,https://bsky.app/profile/viraniarif.bsky.social,Inactive,Liberal,Parkdale—High Park,Ontario
NA,Kevin Vuong,Man,kevinvuong.bsky.social,https://bsky.app/profile/kevinvuong.bsky.social,Inactive,Independent,Spadina—Fort York,Ontario
NA,Patrick Weiler,Man,patrickbweiler.bsky.social,https://bsky.app/profile/patrickbweiler.bsky.social,Active,Liberal,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia
NA,Jean Yip,Woman,jeanyip3.bsky.social,https://bsky.app/profile/jeanyip3.bsky.social,Active,Liberal,Scarborough—Agincourt,Ontario
NA,Bonita Zarrillo,Woman,mp-bonitazarrillo.bsky.social,https://bsky.app/profile/mp-bonitazarrillo.bsky.social,Active,NDP,Port Moody—Coquitlam,British Columbia
